id,auth_user_id,hospital_id,doctor_id,full_name,email,role,is_active,created_at,updated_at
USR-101,,HOSP-PUNE-012,,Sarfraz,admin@gmail.com,ADMIN,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-102,,HOSP-PUNE-012,DOC-401,Kabir,kabir@gmail.com,DOCTOR,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-103,,HOSP-PUNE-012,,Khushi,khushi@gmail.com,NURSE,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-104,,HOSP-PUNE-012,,Shubh,shubh@gmail.com,RECEPTIONIST,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-105,,HOSP-PUNE-012,,Ujjwal,ujjwal@gmail.com,CLAIM_OFFICER,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-106,,HOSP-PUNE-012,,Staff_106,staff106@sahyadri.local,RECEPTIONIST,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-107,,HOSP-PUNE-012,,Staff_107,staff107@sahyadri.local,CLAIM_OFFICER,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-108,,HOSP-PUNE-012,,Staff_108,staff108@sahyadri.local,RECEPTIONIST,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-109,,HOSP-PUNE-012,,Staff_109,staff109@sahyadri.local,CLAIM_OFFICER,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-110,,HOSP-PUNE-012,,Staff_110,staff110@sahyadri.local,RECEPTIONIST,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-111,,HOSP-PUNE-012,,Staff_111,staff111@sahyadri.local,AUDITOR,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-112,,HOSP-PUNE-012,,Staff_112,staff112@sahyadri.local,NURSE,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-113,,HOSP-PUNE-012,,Staff_113,staff113@sahyadri.local,NURSE,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-114,,HOSP-PUNE-012,,Staff_114,staff114@sahyadri.local,AUDITOR,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-115,,HOSP-PUNE-012,,Staff_115,staff115@sahyadri.local,NURSE,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-116,,HOSP-PUNE-012,,Staff_116,staff116@sahyadri.local,CLAIM_OFFICER,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-117,,HOSP-PUNE-012,,Staff_117,staff117@sahyadri.local,NURSE,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-118,,HOSP-PUNE-012,,Staff_118,staff118@sahyadri.local,CLAIM_OFFICER,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-119,,HOSP-PUNE-012,,Staff_119,staff119@sahyadri.local,NURSE,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-120,,HOSP-PUNE-012,,Staff_120,staff120@sahyadri.local,AUDITOR,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-121,,HOSP-PUNE-012,,Staff_121,staff121@sahyadri.local,NURSE,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-122,,HOSP-PUNE-012,,Staff_122,staff122@sahyadri.local,RECEPTIONIST,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-123,,HOSP-PUNE-012,,Staff_123,staff123@sahyadri.local,CLAIM_OFFICER,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-124,,HOSP-PUNE-012,,Staff_124,staff124@sahyadri.local,RECEPTIONIST,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-125,,HOSP-PUNE-012,,Staff_125,staff125@sahyadri.local,AUDITOR,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-126,,HOSP-PUNE-012,,Staff_126,staff126@sahyadri.local,AUDITOR,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-127,,HOSP-PUNE-012,,Staff_127,staff127@sahyadri.local,NURSE,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-128,,HOSP-PUNE-012,,Staff_128,staff128@sahyadri.local,AUDITOR,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-129,,HOSP-PUNE-012,,Staff_129,staff129@sahyadri.local,RECEPTIONIST,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
USR-130,,HOSP-PUNE-012,,Staff_130,staff130@sahyadri.local,RECEPTIONIST,TRUE,2026-08-01T08:00:00Z,2026-08-01T08:00:00Z
